Date,AAPL,ABBV,ABT,ACN,ADBE,AMZN,AVGO,BMY,BRK-B,CMCSA,COST,CRM,CSCO,CVX,DHR,DIS,GOOGL,HD,HON,INTC,JNJ,JPM,KO,LLY,MA,MCD,META,MRK,MSFT,NEE,NFLX,NKE,NVDA,PEP,PFE,PG,PM,QCOM,RTX,TMO,TSLA,TXN,UNH,UNP,UPS,V,VZ,WFC,WMT,XOM
2023-10-09,177.2538299560547,138.606201171875,93.0018539428711,301.5007629394531,529.2899780273438,128.25999450683594,83.47053527832031,52.03925704956055,345.45001220703125,41.68305206298828,540.320556640625,205.06288146972656,51.21480178833008,152.85671997070312,215.8840789794922,83.31114196777344,137.4718475341797,281.2166748046875,178.73703002929688,35.46681594848633,148.8650360107422,139.1356658935547,49.79589080810547,563.6334838867188,390.74285888671875,238.44732666015625,316.409423828125,98.16496276855469,324.9234313964844,46.41179275512695,385.95001220703125,93.33993530273438,45.24633026123047,150.666748046875,29.29518699645996,136.36947631835938,85.30331420898438,107.10421752929688,69.77264404296875,493.0779113769531,259.6700134277344,147.5516357421875,507.6041259765625,195.26390075683594,138.54135131835938,230.9866180419922,28.060161590576172,37.717891693115234,50.759830474853516,103.42313385009766
2023-10-10,176.6596221923828,138.40167236328125,93.7707748413086,301.80029296875,532.719970703125,129.47999572753906,83.71728515625,51.83702087402344,348.55999755859375,42.04230499267578,543.33642578125,204.72647094726562,51.16731262207031,152.6916961669922,216.22021484375,83.59638214111328,137.1143035888672,284.891845703125,178.5645294189453,35.83073043823242,148.6959991455078,139.9813995361328,50.878822326660156,571.0762329101562,396.3158874511719,239.97384643554688,319.8680725097656,97.32891845703125,323.5146789550781,48.538536071777344,373.32000732421875,94.05291748046875,45.771018981933594,153.50526428222656,29.26871109008789,137.72024536132812,86.9112548828125,107.59278869628906,70.11676788330078,493.0977783203125,263.6199951171875,148.43663024902344,505.4156188964844,197.2232666015625,139.6275177001953,233.1148223876953,28.336746215820312,37.83189392089844,51.333091735839844,102.9848861694336
2023-10-11,178.05593872070312,138.81997680664062,89.04188537597656,303.26556396484375,549.9099731445312,131.8300018310547,85.2923355102539,52.076026916503906,348.42999267578125,41.824859619140625,546.6519775390625,204.69677734375,50.96784973144531,147.70404052734375,214.2306365966797,83.45868682861328,139.58724975585938,283.77789306640625,179.58030700683594,36.2733268737793,146.64906311035156,140.46197509765625,50.57748031616211,596.677001953125,395.76153564453125,239.40139770507812,325.8114929199219,97.18800354003906,327.48486328125,50.382957458496094,365.92999267578125,95.0452651977539,46.77843475341797,151.84324645996094,29.21577262878418,136.0270233154297,86.0795669555664,106.4527816772461,70.07853698730469,489.59942626953125,262.989990234375,148.12594604492188,505.3095703125,200.21481323242188,139.4031219482422,232.2083282470703,28.06908416748047,37.70838165283203,51.53829574584961,99.29252624511719
2023-10-12,178.95713806152344,139.2330780029297,87.16691589355469,295.3282470703125,559.6300048828125,132.3300018310547,88.31952667236328,51.71751022338867,345.6600036621094,41.50341796875,544.9700317382812,203.5389404296875,51.148311614990234,147.82321166992188,207.36117553710938,82.96688842773438,138.01806640625,278.9887390136719,176.2646942138672,36.23398208618164,146.7899169921875,140.1351776123047,49.7299690246582,601.8229370117188,395.8505859375,234.8885498046875,322.1739196777344,97.31011962890625,326.2435607910156,49.87480163574219,361.20001220703125,95.62334442138672,46.91735076904297,147.60409545898438,29.04811668395996,136.33143615722656,84.89672088623047,106.77849578857422,70.06897735595703,479.5914001464844,258.8699951171875,145.93226623535156,506.6688537597656,198.7907257080078,139.47491455078125,233.29214477539062,27.578365325927734,37.75589370727539,51.7728157043457,99.27388763427734
2023-10-13,177.1151885986328,138.9138946533203,87.8241195678711,292.87335205078125,548.760009765625,129.7899932861328,86.13301086425781,51.910560607910156,345.0899963378906,41.4183349609375,547.9280395507812,202.46029663085938,51.07232666015625,150.4178924560547,207.30178833007812,82.96688842773438,136.41909790039062,277.94140625,175.9005126953125,35.378299713134766,147.27818298339844,142.23997497558594,49.80530548095703,600.5414428710938,393.99957275390625,236.91122436523438,312.76190185546875,97.70466613769531,322.8644714355469,51.27694320678711,355.67999267578125,96.25922393798828,45.43422317504883,149.39686584472656,28.333385467529297,137.63461303710938,85.25711059570312,104.0960922241211,70.02117156982422,479.879638671875,251.1199951171875,143.8139190673828,520.03125,198.56130981445312,139.20559692382812,234.16905212402344,27.36423110961914,38.914981842041016,52.059452056884766,102.444091796875
2023-10-16,176.98643493652344,138.22848510742188,89.09020233154297,296.2791748046875,550.739990234375,132.5500030517578,88.02403259277344,52.554039001464844,346.2300109863281,41.834320068359375,553.147705078125,206.3592529296875,51.4427604675293,151.64646911621094,208.31141662597656,84.3045883178711,138.14718627929688,283.09234619140625,178.4591064453125,35.95859146118164,147.9166717529297,142.09580993652344,50.31380844116211,607.8756713867188,397.0978698730469,238.46640014648438,319.18231201171875,97.82678985595703,327.7015380859375,51.17342758178711,360.82000732421875,98.31138610839844,46.067848205566406,150.40530395507812,29.356950759887695,138.94735717773438,86.05184173583984,105.86839294433594,70.71900939941406,485.5346374511719,253.9199981689453,145.27322387695312,518.71044921875,201.505126953125,140.61489868164062,236.53369140625,27.8817195892334,39.57052993774414,52.508934020996094,102.51869201660156
2023-10-17,175.431640625,140.0592803955078,89.05154418945312,299.10284423828125,560.0900268554688,131.47000122070312,86.25199890136719,52.73789596557617,345.3900146484375,41.93831253051758,555.177734375,207.6556396484375,51.233802795410156,153.65438842773438,209.78627014160156,84.78654479980469,138.762939453125,281.7689208984375,178.54539489746094,35.46681594848633,146.56454467773438,141.78823852539062,50.91648483276367,599.6640625,397.7016906738281,239.61131286621094,322.014892578125,97.85497283935547,327.13018798828125,50.97580337524414,355.7200012207031,99.2459487915039,43.91211700439453,149.74234008789062,28.898109436035156,139.12808227539062,86.30134582519531,107.48741912841797,70.63296508789062,481.78778076171875,254.85000610351562,145.2355499267578,517.3799438476562,201.9925537109375,141.0906524658203,237.6470184326172,28.113697052001953,39.884056091308594,52.577335357666016,103.86136627197266
2023-10-18,174.1343536376953,140.1531524658203,92.35691833496094,294.7557373046875,557.8699951171875,128.1300048828125,86.50848388671875,52.2598762512207,340.8900146484375,41.61687088012695,555.4675903320312,202.6977996826172,51.07232666015625,154.873779296875,202.71885681152344,83.29146575927734,137.01499938964844,276.34185791015625,175.81430053710938,35.0537223815918,143.4095916748047,140.23130798339844,50.897647857666016,598.6091918945312,389.2283935546875,244.27685546875,315.0279235839844,95.80712890625,325.2091064453125,50.10064697265625,346.19000244140625,99.97816467285156,42.171146392822266,151.2923126220703,27.715715408325195,142.7142333984375,86.13500213623047,106.31866455078125,70.96753692626953,464.385498046875,242.67999267578125,142.9383087158203,516.8112182617188,196.812255859375,138.07460021972656,233.97198486328125,27.703275680541992,39.45651626586914,52.61642837524414,105.31591033935547
2023-10-19,173.758056640625,136.62306213378906,92.24093627929688,293.9504089355469,555.739990234375,128.39999389648438,84.63597106933594,51.91974639892578,338.6600036621094,40.71873474121094,546.7582397460938,206.15147399902344,50.64490509033203,155.03880310058594,205.1934356689453,81.88491821289062,136.80642700195312,273.0380554199219,174.66436767578125,35.083229064941406,143.02462768554688,139.6354217529297,51.180152893066406,582.40283203125,383.9424133300781,246.51893615722656,310.8934326171875,94.3416976928711,326.401123046875,49.300777435302734,401.7699890136719,99.28448486328125,42.076202392578125,149.91973876953125,27.521591186523438,141.91111755371094,83.84324645996094,106.6060562133789,70.63296508789062,466.7806701660156,220.11000061035156,142.10975646972656,512.5402221679688,201.02723693847656,136.49476623535156,230.3658905029297,28.176151275634766,39.123992919921875,52.36561965942383,105.38118743896484
2023-10-20,171.20309448242188,137.28965759277344,93.5360107421875,288.1866455078125,540.9600219726562,125.16999816894531,83.25110626220703,51.9013671875,335.8599853515625,40.52019500732422,534.4820556640625,201.60922241210938,50.274478912353516,152.9575958251953,203.73834228515625,81.29476165771484,134.6711883544922,272.6952209472656,173.75404357910156,34.34556579589844,143.6631317138672,137.38653564453125,51.38732147216797,576.3304443359375,380.5174560546875,246.2613067626953,306.7589111328125,96.4458999633789,321.8202209472656,48.8961296081543,400.9599914550781,98.91837310791016,41.36261749267578,149.39686584472656,27.04510498046875,141.7196807861328,85.53434753417969,104.0673599243164,69.35203552246094,461.5033264160156,211.99000549316406,139.1628875732422,508.10540771484375,201.9925537109375,136.40496826171875,229.9422149658203,28.16722869873047,38.25942611694336,51.7109260559082,103.57231903076172
